1.18E+05	0.00543558	1.37E+05	0.00447603	1.80E+05	0.0033931	9.19E+04	0.00731655	9.34E+04	0.00555087	1.93E+05	0.00278818	3.12E+05	0.00207165	2.12E+05	0.00340775
1.22E+05	0.00554835	1.42E+05	0.00458122	1.87E+05	0.00345136	9.53E+04	0.00746419	9.69E+04	0.00573153	2.01E+05	0.0028792	3.24E+05	0.00214729	2.20E+05	0.00352412
1.27E+05	0.00562544	1.47E+05	0.00469022	1.94E+05	0.00352425	9.88E+04	0.00757476	1.00E+05	0.005931	2.08E+05	0.00294468	3.36E+05	0.00225048	2.28E+05	0.00368622
1.31E+05	0.00575206	1.53E+05	0.00480683	2.01E+05	0.00363668	1.02E+05	0.00771806	1.04E+05	0.00609399	2.15E+05	0.00311717	3.47E+05	0.0022839	2.36E+05	0.00399276
1.36E+05	0.00583567	1.58E+05	0.00489839	2.07E+05	0.00372538	1.06E+05	0.00783535	1.07E+05	0.00627009	2.22E+05	0.00316341	3.59E+05	0.00238866	2.44E+05	0.00398959
1.40E+05	0.00592809	1.63E+05	0.00499437	2.14E+05	0.00380887	1.09E+05	0.00793208	1.11E+05	0.00647298	2.30E+05	0.0032865	3.71E+05	0.00247205	2.52E+05	0.00412634
1.45E+05	0.00599927	1.68E+05	0.00505488	2.21E+05	0.00387875	1.13E+05	0.00809118	1.15E+05	0.00664281	2.37E+05	0.00339496	3.83E+05	0.00255345	2.60E+05	0.00426127
1.49E+05	0.00617431	1.73E+05	0.00514524	2.28E+05	0.00397817	1.16E+05	0.00817191	1.18E+05	0.00683772	2.44E+05	0.00346134	3.95E+05	0.00264689	2.69E+05	0.00438262
1.54E+05	0.00619846	1.79E+05	0.0052329	2.35E+05	0.00401781	1.20E+05	0.00824708	1.22E+05	0.00696709	2.52E+05	0.0035464	4.06E+05	0.00272379	2.77E+05	0.0045497
1.58E+05	0.00627816	1.84E+05	0.00532898	2.41E+05	0.00410772	1.23E+05	0.00831924	1.25E+05	0.00717453	2.59E+05	0.00362764	4.18E+05	0.00279261	2.85E+05	0.00464343
1.63E+05	0.00641931	1.89E+05	0.0053966	2.48E+05	0.00419692	1.27E+05	0.00848918	1.29E+05	0.00726743	2.66E+05	0.00372271	4.30E+05	0.00285076	2.93E+05	0.00481232
1.67E+05	0.0064144	1.94E+05	0.00546823	2.55E+05	0.00421704	1.30E+05	0.00852046	1.32E+05	0.00749824	2.74E+05	0.00379596	4.42E+05	0.00294703	3.01E+05	0.00483496
1.71E+05	0.00654593	1.99E+05	0.00554347	2.62E+05	0.00430244	1.33E+05	0.00863309	1.36E+05	0.00757802	2.81E+05	0.0038881	4.53E+05	0.00303357	3.09E+05	0.00494545
1.76E+05	0.00658101	2.04E+05	0.00564305	2.68E+05	0.00436892	1.37E+05	0.00873345	1.39E+05	0.00773019	2.88E+05	0.00400872	4.65E+05	0.00309485	3.17E+05	0.00520082
1.80E+05	0.00671605	2.10E+05	0.00575074	2.75E+05	0.00447354	1.40E+05	0.0087734	1.43E+05	0.0079952	2.95E+05	0.00406992	4.77E+05	0.00317688	3.25E+05	0.00530768
1.85E+05	0.00673279	2.15E+05	0.00579061	2.82E+05	0.00453311	1.44E+05	0.00883989	1.46E+05	0.00784873	3.03E+05	0.00415926	4.89E+05	0.00322559	3.33E+05	0.00535477
1.89E+05	0.00683915	2.20E+05	0.00586726	2.89E+05	0.00460279	1.47E+05	0.00890287	1.50E+05	0.00819466	3.10E+05	0.00424072	5.00E+05	0.00326058	3.41E+05	0.00542451
1.94E+05	0.00689249	2.25E+05	0.00588558	2.96E+05	0.00467667	1.51E+05	0.00896915	1.53E+05	0.00812912	3.17E+05	0.00437045	5.12E+05	0.00339237	3.49E+05	0.00555854
1.98E+05	0.00698041	2.30E+05	0.0059993	3.02E+05	0.00476007	1.54E+05	0.0089963	1.57E+05	0.0085349	3.25E+05	0.0044078	5.24E+05	0.00349388	3.57E+05	0.00571022
2.03E+05	0.00698331	2.35E+05	0.00603025	3.09E+05	0.00477959	1.58E+05	0.00908241	1.60E+05	0.00841521	3.32E+05	0.0044797	5.36E+05	0.00355601	3.65E+05	0.00577271
2.07E+05	0.00707343	2.41E+05	0.00611881	3.16E+05	0.00488521	1.61E+05	0.00916139	1.64E+05	0.0085178	3.39E+05	0.00456453	5.48E+05	0.00362358	3.73E+05	0.00591126
2.12E+05	0.00704937	2.46E+05	0.00620397	3.23E+05	0.00491054	1.65E+05	0.00915633	1.67E+05	0.00873949	3.46E+05	0.00463811	5.59E+05	0.00367585	3.81E+05	0.00595881
2.16E+05	0.00712025	2.51E+05	0.00626087	3.30E+05	0.00500905	1.68E+05	0.00919711	1.71E+05	0.00875944	3.54E+05	0.00467682	5.71E+05	0.00373421	3.89E+05	0.00606702
2.20E+05	0.00725458	2.56E+05	0.00628161	3.36E+05	0.00506662	1.72E+05	0.00922188	1.74E+05	0.00888938	3.61E+05	0.00475535	5.83E+05	0.0038529	3.97E+05	0.00611864
2.25E+05	0.00727223	2.61E+05	0.00634301	3.43E+05	0.00509415	1.75E+05	0.00922705	1.78E+05	0.00894637	3.68E+05	0.00481093	5.95E+05	0.00391649	4.05E+05	0.00623411
2.29E+05	0.00729067	2.66E+05	0.00638289	3.50E+05	0.00517644	1.79E+05	0.00932802	1.81E+05	0.00883466	3.76E+05	0.00489228	6.06E+05	0.00393514	4.13E+05	0.00627848
2.34E+05	0.00736907	2.72E+05	0.00644701	3.57E+05	0.00521379	1.82E+05	0.00923469	1.85E+05	0.00902216	3.83E+05	0.0049923	6.18E+05	0.00402031	4.21E+05	0.00634233
2.38E+05	0.00739403	2.77E+05	0.0064997	3.64E+05	0.00529548	1.85E+05	0.00930241	1.89E+05	0.00906092	3.90E+05	0.00497498	6.30E+05	0.00407279	4.29E+05	0.00651303
2.43E+05	0.00740556	2.82E+05	0.00654869	3.70E+05	0.00532512	1.89E+05	0.00939616	1.92E+05	0.00936639	3.98E+05	0.00510572	6.42E+05	0.00415472	4.37E+05	0.00661129
2.47E+05	0.00745568	2.87E+05	0.00659968	3.77E+05	0.00543344	1.92E+05	0.00933298	1.96E+05	0.00927178	4.05E+05	0.00516074	6.54E+05	0.00420165	4.45E+05	0.00665521
2.52E+05	0.00747874	2.92E+05	0.00661992	3.84E+05	0.00548169	1.96E+05	0.00940328	1.99E+05	0.00933447	4.12E+05	0.00518065	6.65E+05	0.00427435	4.53E+05	0.00670411
2.56E+05	0.00752586	2.98E+05	0.00668494	3.91E+05	0.00549841	1.99E+05	0.00936808	2.03E+05	0.00925981	4.19E+05	0.00524816	6.77E+05	0.0042819	4.61E+05	0.00673128
2.61E+05	0.00757077	3.03E+05	0.00670497	3.98E+05	0.00555388	2.03E+05	0.00944148	2.06E+05	0.00946783	4.27E+05	0.00531634	6.89E+05	0.00442238	4.69E+05	0.00688025
2.65E+05	0.00760044	3.08E+05	0.00678542	4.04E+05	0.0055758	2.06E+05	0.00940184	2.10E+05	0.00937493	4.34E+05	0.00536247	7.01E+05	0.0044493	4.77E+05	0.00693322
2.69E+05	0.00764665	3.13E+05	0.00680826	4.11E+05	0.00564989	2.10E+05	0.00936508	2.13E+05	0.00947581	4.41E+05	0.00545844	7.12E+05	0.00447382	4.85E+05	0.00693051
2.74E+05	0.00763052	3.18E+05	0.00689412	4.18E+05	0.00570415	2.13E+05	0.00940627	2.17E+05	0.00949747	4.49E+05	0.00552426	7.24E+05	0.00455092	4.93E+05	0.00698303
2.78E+05	0.00769067	3.23E+05	0.0068843	4.25E+05	0.00572357	2.17E+05	0.00932988	2.20E+05	0.00952311	4.56E+05	0.00558772	7.36E+05	0.00459188	5.01E+05	0.00707042
2.83E+05	0.00767152	3.29E+05	0.00692086	4.32E+05	0.00580977	2.20E+05	0.00933566	2.24E+05	0.00941369	4.63E+05	0.00561045	7.48E+05	0.00468229	5.09E+05	0.00706001
2.87E+05	0.00779703	3.34E+05	0.00698769	4.38E+05	0.00579045	2.24E+05	0.00931614	2.27E+05	0.00953052	4.70E+05	0.00570046	7.60E+05	0.00475898	5.17E+05	0.00716823
2.92E+05	0.00769859	3.39E+05	0.00698689	4.45E+05	0.00588806	2.27E+05	0.00928043	2.31E+05	0.00972315	4.78E+05	0.00572071	7.71E+05	0.00483566	5.25E+05	0.00714695
2.96E+05	0.00774791	3.44E+05	0.0069917	4.52E+05	0.00590558	2.31E+05	0.00927062	2.34E+05	0.00962968	4.85E+05	0.00575548	7.83E+05	0.00482403	5.33E+05	0.00734708
3.01E+05	0.0077445	3.49E+05	0.00708777	4.59E+05	0.00598257	2.34E+05	0.00921208	2.38E+05	0.00964621	4.92E+05	0.00578439	7.95E+05	0.00487568	5.41E+05	0.00730769
3.05E+05	0.00776134	3.54E+05	0.00707955	4.66E+05	0.00600319	2.37E+05	0.00920402	2.41E+05	0.00956813	5.00E+05	0.00585753	8.07E+05	0.00499427	5.49E+05	0.00726965
3.10E+05	0.00777598	3.60E+05	0.00706282	4.72E+05	0.00602222	2.41E+05	0.00921301	2.45E+05	0.00958466	5.07E+05	0.00589601	8.18E+05	0.00495174	5.57E+05	0.00727599
3.14E+05	0.00774921	3.65E+05	0.00707464	4.79E+05	0.00606807	2.44E+05	0.00919453	2.48E+05	0.00963709	5.14E+05	0.00595868	8.30E+05	0.00503827	5.65E+05	0.00739191
3.18E+05	0.0077864	3.70E+05	0.00712674	4.86E+05	0.00608659	2.48E+05	0.00920939	2.52E+05	0.00973397	5.21E+05	0.00603001	8.42E+05	0.0051094	5.73E+05	0.00733893
3.23E+05	0.00779172	3.75E+05	0.00712895	4.93E+05	0.00613154	2.51E+05	0.00908013	2.56E+05	0.00964507	5.29E+05	0.00598275	8.54E+05	0.00514471	5.81E+05	0.00737561
3.27E+05	0.00777658	3.80E+05	0.0071076	5.00E+05	0.00619081	2.55E+05	0.00904317	2.59E+05	0.00972144	5.36E+05	0.00604385	8.66E+05	0.00517163	5.89E+05	0.00743402
3.32E+05	0.00781016	3.85E+05	0.00719276	5.06E+05	0.006185	2.58E+05	0.00903006	2.63E+05	0.00977216	5.43E+05	0.00604295	8.77E+05	0.00522024	5.97E+05	0.00743356
3.36E+05	0.00779542	3.91E+05	0.00717954	5.13E+05	0.00625128	2.62E+05	0.00901416	2.66E+05	0.00970377	5.51E+05	0.00611563	8.89E+05	0.00525617	6.05E+05	0.00750828
3.41E+05	0.00775543	3.96E+05	0.00719787	5.20E+05	0.00625578	2.65E+05	0.00893539	2.70E+05	0.00958751	5.58E+05	0.00618865	9.01E+05	0.0052986	6.13E+05	0.00740911
