-0.0022 0.04 0.004
0.016 -0.0137 0.008
0.017 0.015 0.027
0.018 -0.012 -0.0013
-0.01 -0.0133 0.027
-0.0186 0.006 0.024
0.014 -0.0211 -0.0259
-0.006 0.008 0.004
-0.0245 -0.0116 0.01
0 0.003 0.004
0.021 0.029 -0.0132
0.017 0.014 -0.033
-0.0102 0.023 -0.0163
-0.0125 0.018 0.018
0.016 0.002 -0.0138
0.022 0.009 0.003
0.003 -0.0237 0.029
0.035 0.002 -0.0112
0.023 -0.0025 0.011
-0.0073 -0.0037 0.009
-0.0242 0.007 0.017
-0.0322 -0.0079 -0.0135
0.024 -0.0194 -0.0127
-0.0235 0.023 -0.0118
-0.0039 -0.025 0.015
0.02 0.022 0.024
-0.0042 -0.0357 -0.0006
0.022 -0.016 0.027
0.005 -0.0178 -0.0166
0.001 0.01 -0.0335
-0.0284 0.012 -0.0076
0.025 0.03 -0.0156
-0.0259 0.018 0.007
0.014 -0.0078 -0.0228
-0.0179 -0.0161 -0.0334
0.041 0.011 -0.0027
-0.0189 0.001 -0.0101
0.009 -0.0107 0.02
-0.0067 0.018 -0.0055
-0.0045 0.015 0.017
0.003 -0.0079 -0.0074
-0.0005 0.007 0.035
-0.0297 -0.0162 0.007
0.015 -0.0189 -0.0258
0.035 -0.0102 -0.0076
0.016 0.029 -0.001
-0.0138 -0.0264 -0.0141
0.01 -0.0086 0.007
-0.0211 -0.017 0.027
-0.0323 -0.0066 -0.0023
0.004 0.004 0.014
-0.0033 0.023 0.03
-0.0141 0.011 -0.0141
-0.0207 -0.003 -0.0273
-0.0157 0.014 -0.0179
-0.0081 0.022 -0.0049
-0.0177 0.007 0.016
-0.0171 -0.0284 -0.007
-0.0292 0.006 0.014
-0.0183 0.035 -0.0151
0.021 0.008 -0.0166
0.03 -0.0143 -0.0051
0.006 0.041 -0.0038
-0.0127 0.017 0.03
-0.0068 -0.0061 0.029
0.016 -0.02 0.019
0.001 -0.0249 -0.0079
0.025 -0.0222 0.008
-0.0261 -0.0176 -0.0077
-0.0343 -0.0012 -0.0162
0 0.008 0.015
0.01 -0.0144 -0.0003
-0.0362 -0.0179 0.01
0.028 0.02 -0.0016
-0.0407 -0.0099 0.023
-0.0073 0.024 0.034
-0.0284 0.009 0.016
0.021 0.021 0.017
-0.0173 0.022 0.023
0.037 0.004 0.008
-0.0221 0.009 0.012
-0.0045 -0.0211 -0.0032
0.007 0.001 0.002
0.03 0.027 -0.0102
0.007 0.012 -0.0035
-0.0273 0.007 -0.0142
-0.0272 -0.001 -0.0232
0.016 0.008 0.026
-0.039 0.014 -0.0153
-0.024 -0.0279 0.003
-0.0162 -0.0146 0.017
-0.0096 -0.014 -0.0248
0.013 -0.025 -0.0018
0.017 0.031 0.025
-0.0265 -0.005 0.025
-0.0313 0.02 -0.0039
-0.0287 0.028 -0.0127
-0.0096 -0.0217 -0.0337
-0.0052 0.015 -0.0156
-0.0293 -0.0176 -0.0166
0.001 -0.0279 0.028
0.022 0.007 0.012
0.005 -0.0117 -0.0289
0.005 -0.0268 0.021
0.023 -0.0221 0.018
0.021 0.013 0.006
-0.0165 -0.0275 -0.0311
0.014 0.031 -0.0079
-0.034 -0.0032 -0.0219
-0.001 -0.0247 0.003
-0.0136 -0.0198 0.008
0.016 0.009 0.023
0.011 -0.0088 -0.0138
0.027 -0.0193 0.005
-0.0228 0.015 0.023
0.002 -0.0187 -0.0269
-0.0228 0.003 0.018
-0.0259 -0.0052 -0.0003
-0.0016 0.026 -0.0008
-0.0176 0.012 -0.0047
-0.0076 0.024 -0.0103
0.023 -0.0066 0.024
-0.0017 -0.0119 -0.0123
-0.0087 0.022 0.022
-0.0067 -0.0151 -0.0076
-0.0279 -0.0229 -0.0282
0.007 -0.0013 -0.019
0.007 -0.0149 0.02
0.011 0.024 0.025
0.006 0.027 -0.0274
-0.027 0.006 0.026
-0.0266 0.028 -0.0128
0.009 0.017 0.008
0.02 0.002 0.013
0.018 0.021 -0.0199
-0.0103 0.001 0.032
0.012 0.004 -0.0207
-0.0002 -0.0046 0.039
0.006 0.025 -0.0145
0.016 -0.0205 -0.0192
0.022 -0.0099 0.02
-0.0209 -0.0134 0.008
0.017 -0.016 0.016
0.016 0.025 0.007
0.013 0.013 0.019
-0.0271 -0.0129 -0.0107
-0.0178 -0.0219 0.025
-0.002 -0.0183 0.029
-0.0036 0.014 -0.0304
-0.0025 -0.0185 0.02
0.021 -0.017 0.023
0.016 0.029 0
0.026 0.009 -0.0304
0.018 0.012 -0.008
-0.009 -0.0295 0.006
-0.0167 0.026 0.025
0.005 -0.0163 -0.0048
-0.022 0.032 0.023
0.007 0.031 -0.0075
-0.0155 0.017 -0.0151
0.001 -0.009 0.025
0.002 0.027 0.024
-0.0092 -0.0254 -0.0138
-0.007 0.004 0.008
-0.0082 0.014 0.027
0.019 0.016 0.017
0.031 0.024 0.006
0.027 0.007 0.001
0.022 0.023 0.011
0.006 -0.0429 -0.0054
-0.0289 -0.0033 0.013
0.013 0.01 -0.0075
-0.0279 -0.025 0.004
-0.0053 -0.0233 0.011
-0.0276 0.022 -0.009
-0.0117 -0.0118 -0.0287
-0.0158 -0.0146 -0.0392
0.028 -0.0142 -0.0078
0.002 -0.0038 -0.0116
0.018 -0.0221 -0.0026
0.005 -0.0263 -0.0168
0.007 0.03 0.014
-0.0002 0.017 -0.0367
-0.0016 0.02 -0.0269
-0.0087 0.003 0.032
-0.0146 0.01 -0.0287
-0.0215 -0.007 -0.0257
-0.0169 0.021 0.023
-0.0011 0.004 0.044
-0.0313 -0.0012 -0.0099
-0.0206 0 -0.0256
0.009 -0.0081 0.019
-0.0158 -0.0225 0.018
0.013 -0.0234 0.012
0.026 -0.0197 0.01
0.015 -0.0046 -0.0344
0.001 0.031 0.024
0.013 0.022 -0.015
0.02 0.021 -0.005
0.035 0.022 -0.0079
-0.0073 -0.0118 -0.0161
-0.0205 0.006 -0.0008
0.019 -0.0068 0
-0.0317 -0.0258 -0.0176
-0.0036 0.01 -0.0071
-0.0079 -0.0256 0.012
-0.0282 0 -0.0063
0.012 0.02 0.027
0.015 -0.0041 -0.014
0.02 0.018 -0.0126
-0.0183 0.004 0.033
0.02 -0.0303 -0.0138
-0.0222 -0.014 -0.0182
-0.0035 0.026 0.015
-0.0042 -0.0176 0.016
-0.0058 -0.0098 -0.0083
0.018 0.025 -0.0179
0.011 0.012 0.038
-0.0139 0.024 0.011
-0.0008 -0.0092 0.029
0.02 -0.0341 -0.0012
-0.0059 0.013 0.026
0.016 -0.0085 -0.0324
-0.0107 -0.0078 -0.0118
-0.008 0 0.009
0.024 -0.0154 0.003
0.007 0.034 -0.0077
0.012 -0.0127 -0.0084
0.017 -0.0167 0.013
0.022 0.013 0.018
-0.0082 0.026 0.012
-0.0129 0.019 -0.0216
-0.0124 0.026 -0.0071
0.003 -0.032 0.004
-0.0034 0.012 0.001
-0.0159 -0.023 -0.0102
-0.016 0.032 -0.0003
0.002 0.014 0.026
-0.0021 -0.0013 0.042
-0.0066 0.026 -0.0064
0.019 0.015 -0.0148
-0.03 -0.0008 0.019
-0.0266 0.015 0.013
0.019 0.016 0.021
-0.0088 0.006 0.031
-0.0016 0.012 0.028
0.021 -0.0106 -0.0184
-0.0168 -0.0134 0.014
-0.0178 0.013 0.011
-0.0133 0.002 0.032
0.006 -0.0342 -0.0006
0.011 0.036 0.007
0.017 0.015 0.004
0.012 0.037 0.016
0.001 0.036 -0.0148
0.004 -0.0252 -0.0336
0.019 -0.0124 -0.0364
0.008 0.021 -0.0174
0.028 0.004 0.008
-0.0358 -0.0071 -0.0025
-0.0041 -0.0291 0.001
0.007 -0.0214 -0.0387
0.003 -0.0288 -0.006
-0.0034 -0.023 0.006
0.019 0.012 -0.0036
-0.0123 0.007 -0.0205
0.018 0.023 0.018
0.025 0.005 -0.0077
-0.0161 -0.0143 -0.0289
0.015 0.011 0.018
-0.0004 -0.0014 -0.0104
-0.0174 -0.0163 -0.0179
-0.0411 -0.0176 0.013
0.005 0.033 -0.0189
-0.0085 0.029 -0.0191
-0.0163 -0.0223 -0.0105
-0.0046 0.006 0.037
-0.0122 0.02 0.002
0.021 -0.0115 0.008
0.025 0.008 -0.0122
0.017 -0.0351 -0.0144
0.028 0.007 0.014
0.006 -0.0167 -0.0051
-0.0052 -0.0077 0.026
-0.0204 -0.0118 -0.0207
0.039 -0.011 -0.0172
0.017 0.016 0.015
-0.0002 0.016 0.014
0.025 -0.0245 0.016
-0.0321 0.028 0.012
-0.007 -0.0237 -0.022
0.005 0.033 0.012
-0.0187 0.006 0.003
0.001 -0.0161 -0.0338
-0.0012 -0.0328 0.01
-0.0087 0.009 0.016
-0.0064 0.003 -0.009
0.008 -0.0157 -0.0364
0.003 -0.0262 -0.0305
-0.0119 0.021 0.015
-0.0114 0.024 0.02
-0.0029 0.02 -0.0179
0.031 0.003 -0.0108
-0.0066 0.014 0.028
-0.0242 0.02 0.005
0.007 0.047 -0.0053
-0.0107 0.007 0.024
-0.0265 -0.0003 0.019
0.023 0.022 -0.0068
0.015 -0.0164 -0.017
0.007 -0.0009 -0.0241
0.013 -0.01 0.015
-0.0155 0.024 0.016
0.017 0.004 0.033
0.001 -0.0199 -0.0217
0.001 0.016 -0.035
0.009 -0.0333 0.008
0.012 0.013 -0.0232
-0.0261 0.004 -0.031
0.022 -0.0084 -0.0033
-0.0258 -0.0264 -0.0032
-0.0251 -0.0214 -0.0049
0.01 -0.0005 0.027
-0.0119 -0.014 0.019
-0.0233 -0.0186 0.013
0.031 0 -0.02
0.008 -0.0208 -0.0214
0.015 0.018 0.01
-0.0002 -0.0248 -0.002
0.013 -0.0152 0.015
-0.0068 -0.0179 0.022
-0.0259 -0.0225 -0.0258
0.005 0.02 0.003
-0.0145 0.011 -0.0185
-0.0003 0.024 -0.0219
0.025 -0.0197 -0.0119
-0.0177 -0.0202 0.026
-0.0216 -0.0257 0.014
-0.0282 0.028 -0.0106
-0.0185 -0.0232 -0.0274
0.014 -0.0271 -0.0127
0.015 -0.0057 0.014
-0.0097 -0.0144 0.024
-0.0206 0.003 -0.002
-0.0058 -0.0378 0.008
0.022 -0.0045 -0.0023
0.02 -0.0043 -0.0146
-0.0254 -0.0218 -0.0114
-0.0186 0.007 0.025
0.019 -0.0098 0.029
0.019 0.005 -0.0047
0.015 0.017 0.001
0.002 -0.043 0.019
0.025 -0.0012 -0.0134
-0.0334 -0.0232 0.02
-0.013 0.01 -0.0019
0.015 0.028 0.008
-0.0147 -0.0005 -0.0103
0.02 -0.0003 0.02
-0.0166 0.022 0.005
0.01 -0.0041 -0.0289
-0.0181 -0.0138 0.02
0.023 0.017 0.021
0.029 -0.02 0.002
0.002 -0.0255 -0.0263
0.025 0.001 -0.0181
-0.0115 0.031 -0.0036
0.023 -0.0017 -0.0224
-0.0187 0.023 0.013
0.001 -0.0013 0.036
0.006 0.006 -0.0109
0.018 0.01 -0.0137
-0.0274 0.016 -0.0032
0.022 0.032 0.004
0.01 0.026 0.011
0.013 -0.0207 -0.0183
-0.0235 -0.012 0.023
-0.0365 -0.0173 0.001
-0.0278 -0.0175 0
-0.0258 0.017 -0.0249
0.01 0.034 0.003
-0.0092 -0.0179 0.017
0.022 -0.0388 0.001
-0.0102 -0.008 0.029
-0.0292 0.015 -0.0102
0.004 -0.0324 -0.0271
0.036 -0.0118 -0.0069
-0.0225 -0.0322 -0.0009
0.031 0.018 0.005
-0.0212 0.008 0.003
-0.015 0.005 -0.0225
0.029 0.019 -0.0194
-0.026 0.022 -0.0027
0.019 -0.0118 0.005
0.007 -0.0156 -0.0026
0.013 0.036 -0.0153
-0.0133 -0.0129 0.009
-0.0293 0.023 -0.0024
-0.0061 -0.0015 -0.024
0.024 -0.0018 -0.017
-0.0001 0.015 -0.0114
-0.0024 0.026 -0.011
0.006 0.02 -0.0029
0.027 -0.0249 0.017
0.017 -0.0045 -0.0185
-0.02 -0.0053 0.011
0 -0.0276 0.021
0.011 0.021 -0.0143
0.014 0.014 0.034
-0.0081 -0.0029 0.016
0.016 0.039 -0.0181
-0.0038 0.017 -0.0249
-0.0165 0.027 0.02
-0.0142 0.01 0.009
0.005 0.024 0.002
-0.0161 0.014 0.016
0.029 -0.0194 0.016
-0.0157 -0.0075 0.023
-0.032 0.015 -0.0095
-0.0287 0.005 0.011
-0.0039 -0.018 -0.0291
-0.0186 0.009 0.011
-0.0197 0.002 0.013
0.033 -0.0074 0.02
0.033 0.002 -0.0208
-0.035 0.016 0.003
0.004 -0.0315 0.007
-0.0229 -0.0001 -0.0204
0.03 0.009 -0.0275
0.006 0.016 0.029
0.029 -0.0004 -0.0051
-0.0245 0.024 0.014
-0.0191 -0.0058 -0.0209
0.012 -0.0332 -0.0051
0.002 -0.0319 0.018
-0.0245 -0.0131 0.001
-0.033 0.008 0.021
-0.019 0.011 0.008
-0.0184 -0.019 -0.0137
-0.007 0.016 -0.0225
-0.0129 0.003 0.017
-0.0056 -0.027 0.007
-0.017 -0.009 0.009
0.01 0.029 -0.0127
-0.0162 0.023 -0.0009
-0.0204 0.004 -0.0206
-0.015 -0.013 0.011
0.001 -0.0253 -0.0206
0.007 -0.0207 0.015
0.02 -0.0032 0.015
0.035 -0.0129 -0.0146
-0.0086 0.018 -0.0219
-0.0205 0.011 -0.0194
-0.006 -0.026 0.006
0.006 0.006 0.017
-0.0095 0.003 -0.0436
0.003 0.035 -0.0083
-0.0277 -0.0259 0.016
-0.0188 -0.0242 0.008
0.014 -0.006 0.029
0.029 -0.0032 -0.0128
0.033 -0.0261 -0.0047
0.009 -0.0279 -0.029
0.015 -0.0079 -0.0315
0.009 -0.0025 -0.0242
-0.0305 0.014 -0.0159
-0.0166 0.016 -0.0018
0.025 -0.0063 0.029
0.01 0.026 -0.0103
0.023 -0.0188 -0.0029
-0.0026 -0.0196 -0.0098
0.008 0.032 0.021
-0.0266 0.025 -0.0083
-0.0149 0.023 0.015
0.014 -0.026 -0.0253
0.027 -0.0196 0.025
-0.0118 -0.008 -0.0077
-0.0232 0.036 -0.0158
0.011 -0.0198 0.032
-0.0299 0.009 -0.0138
-0.0002 0.019 0.001
0.002 0.008 0.032
0.008 -0.03 -0.0203
0.011 -0.0069 0.023
0.03 0.015 -0.0066
0.034 -0.0089 -0.0178
0.024 -0.0223 0.002
-0.0122 0.022 0.006
-0.0305 -0.0007 0
0.006 0.025 0.015
0.016 0.007 -0.0043
0.017 -0.0377 0.008
0.001 0.013 -0.0121
-0.0007 0.035 -0.0177
-0.0126 -0.0241 -0.0374
0 -0.0121 -0.0321
-0.0248 0.018 -0.0218
-0.0232 0.01 0.009
-0.0011 0.006 0.021
-0.0056 -0.0225 -0.016
-0.0084 0.019 0.009
-0.022 -0.0229 0.015
-0.0149 -0.0091 -0.0265
0.008 0.029 -0.0068
-0.0138 0.03 -0.0008
-0.0039 -0.0206 0.012
0.02 0.013 -0.0053
0.009 0.022 0.016
-0.0024 0.039 0.018
-0.0043 0.037 -0.0144
-0.009 0.009 0.02
-0.0014 0.014 -0.0093
0 -0.0331 -0.0056
0.027 0.014 0.012
0.004 0.027 0.02
0.004 0.028 0.013
-0.0299 0.003 -0.022
0.011 -0.0035 0.016
0.032 -0.0275 -0.0111
0.013 0.004 -0.0051
0.034 -0.0195 -0.0006
-0.0248 -0.0236 -0.016
0.035 0.008 0.001
0.014 -0.0017 0.026
0.025 0.023 -0.0078
0.033 -0.003 0.015
-0.0006 -0.0027 -0.0224
-0.0259 -0.0076 -0.0142
0.002 -0.0185 0.033
0.01 -0.0337 -0.0109
0.021 0.024 0.024
0.01 0.006 0
0.023 0.002 -0.015
0.014 0.006 -0.025
-0.0353 -0.0019 -0.008
0.024 0.023 -0.0079
-0.0227 -0.0001 0.03
0.029 0.019 -0.0129
-0.0044 -0.0344 0.026
-0.0172 0 -0.017
0.021 -0.0095 -0.025
0.003 0.017 -0.0311
0.025 -0.0133 0.025
-0.0049 -0.0104 0.004
0.031 0.001 -0.0199
0.009 -0.0283 -0.0002
0.026 -0.0147 -0.0063
-0.023 0.007 -0.0107
-0.0223 -0.0255 0.002
0.002 0.02 -0.0302
0.003 0.007 -0.0205
-0.0123 -0.0091 -0.0305
-0.0389 -0.0034 -0.0061
-0.0063 -0.0206 0.025
-0.0196 -0.0004 -0.0284
-0.0033 0.019 0.036
0.03 -0.0136 0.026
0.015 0.012 0.006
0.024 0.027 -0.0013
-0.02 -0.0221 0.018
0.004 0.012 0.011
-0.0214 -0.0124 -0.0201
-0.016 0.003 0.012
-0.0305 0.011 -0.0186
-0.0053 -0.0219 0.014
-0.024 0.001 0.017
-0.0168 -0.0153 0.01
-0.0056 -0.0149 0.039
-0.0032 -0.0102 -0.0095
-0.0012 -0.0163 0.019
-0.0003 -0.035 -0.0139
-0.0203 -0.0192 0.007
0.007 0.01 0.024
-0.0154 0.009 0.016
-0.0147 0.028 0.016
0.007 -0.0185 0.025
0.016 0.016 0.013
-0.014 0.016 -0.028
0.01 0.006 0.024
-0.001 -0.0079 0.026
0.02 0.019 -0.0204
0.001 0.012 -0.0208
-0.0111 0.021 0.018
-0.0002 -0.0098 -0.015
0.001 0.011 -0.0037
-0.0173 -0.0172 -0.0222
-0.0131 0.029 -0.0018
0.004 0.01 -0.0274
-0.0153 0.033 -0.0027
0.035 -0.0068 -0.0025
-0.0078 0.017 0
0.002 -0.0017 -0.0198
0.001 0.014 0.007
-0.0352 0.003 -0.0033
0.012 0.022 -0.0165
-0.0154 -0.0193 0.004
-0.0298 0.001 0.018
-0.0168 -0.0005 -0.0175
0.005 0.033 0.019
-0.0222 0.012 -0.0285
0.011 0.026 0.022
0.011 -0.0036 -0.0171
-0.0362 -0.0023 0.003
0.002 -0.0081 0.028
-0.0145 0.004 -0.0256
0.005 0.024 -0.0134
0.014 0.009 0.024
-0.0095 0.028 0.012
0.018 0.023 -0.0059
0.031 -0.006 -0.0271
-0.0039 0.012 -0.0169
-0.015 -0.0001 0.02
0.019 -0.0013 0.022
0.026 0.009 0.034
-0.0005 -0.0031 0.029
-0.024 0.015 -0.0111
-0.0113 -0.0312 0.032
0.035 0 -0.0092
-0.0038 0.035 -0.005
0.028 -0.0189 0.018
-0.0056 0.02 0.006
-0.0093 0.038 -0.0131
-0.0149 -0.0173 0.012
-0.0254 -0.0035 -0.0088
0.027 0.002 -0.0268
0.038 0.02 0.018
0.009 0.014 -0.0316
0.017 -0.0073 -0.0099
-0.0092 -0.0108 -0.0214
0.016 0.008 0.015
0.022 0.002 -0.0072
-0.0385 -0.0044 -0.0065
0.031 -0.025 -0.0089
0.011 -0.0243 0.02
-0.0171 -0.0228 -0.0313
0.007 0.014 -0.0048
0.011 0.006 -0.0192
0.015 0.002 -0.0045
0.021 -0.0216 -0.0183
0.002 -0.0047 -0.0155
-0.0014 -0.0322 0.003
-0.0152 -0.0019 -0.023
-0.0022 -0.0123 0.036
0.017 0.022 0.01
-0.0336 -0.0009 0.005
-0.0261 0.025 0.006
0.01 -0.0023 0.027
0.014 0.012 0.009
-0.0178 -0.0081 -0.0171
-0.0209 -0.0161 0.019
-0.0167 0.014 0.024
0.008 -0.0283 -0.012
0.005 -0.0038 -0.0331
0.031 -0.0071 -0.0063
0.023 0.006 0.01
0.003 -0.011 -0.0072
-0.0059 0.017 0.012
-0.0046 0.025 -0.0254
-0.004 -0.0031 -0.023
-0.0127 0.027 -0.0244
-0.0016 0.002 0.046
0.032 -0.0083 -0.0226
-0.0118 -0.0222 -0.0332
-0.0292 0 0.029
0.017 0.019 -0.0026
-0.0116 -0.0014 0.02
0.009 -0.0045 0.028
-0.0202 0.024 -0.0072
-0.035 0.001 0.016
-0.0103 0.022 0.007
0.02 0.029 -0.0047
0.011 -0.0208 -0.0116
0.017 0.011 -0.0295
-0.0355 0.011 -0.0331
0.011 -0.0217 0.013
-0.0257 0.023 0.027
-0.021 0.005 -0.0175
0.004 0.012 0.026
-0.014 -0.0196 -0.0172
0.024 -0.0358 0.004
0.029 0.007 0.02
-0.019 -0.0192 -0.0235
0.025 0.025 -0.0132
-0.0018 -0.0305 -0.0205
0.02 -0.0144 0.011
