-0.0913 -0.09494 -0.03217
-0.02538 0.18595 -0.07052
-0.40093 0.583 0.6994
-0.31137 0.43485 -0.25778
-0.09707 0.02786 -0.018
-0.19354 0.01919 0.50893
-0.14131 -0.27279 0.32515
0.71274 0.37698 -0.03999
0.5323 0.38003 0.16593
-0.14155 -0.38861 -0.69367
-0.15766 -0.12914 0.09333
-0.0422 -0.06185 -0.0343
0.80437 -0.00766 -0.56367
-0.45829 -0.11372 -0.21935
-0.07614 0.16509 0.25313
-0.21616 0.08037 -0.75712
0.01579 0.19928 -0.00225
0.03 -0.03782 -0.02845
0.16314 0.03692 -0.0317
-0.12406 0.29798 0.02247
-0.01124 -0.05764 -0.09362
-0.17432 0.11356 0.50697
0.40116 0.4518 -0.41598
-0.21016 0.35591 -0.33986
0.16744 0.1311 -0.11287
-0.00798 -0.13308 -0.0331
-0.17129 -0.03979 -0.0761
0.48168 0.42584 -0.8745
-0.00315 -0.1623 0.07834
0.01887 -0.01657 -0.01958
-0.33285 -0.19293 0.04052
-0.06739 0.1291 -0.18409
0.28959 -0.12271 -0.18136
0.3534 -0.17782 0.16265
0.05111 0.19021 0.10298
0.02943 -0.11488 0.06024
-0.42099 0.30467 -0.23795
-0.05869 0.34462 -0.75012
-0.23909 -0.04883 -0.13505
-0.01152 0.00502 -0.05319
-0.40053 0.08635 -0.21962
0.49962 -0.16086 0.12402
0.02991 0.00189 0.00502
0.36693 -0.38041 0.45051
-0.026 -0.205 0.20512
-0.05345 -0.06876 0.05859
-0.44772 0.02984 -1.0549
0.29327 -0.26948 0.25083
0.36365 -0.04824 0.00937
-0.01162 0.04346 0.01801
-0.20433 0.09367 -0.12361
0.1562 -0.38368 0.5968
0.37311 0.36668 -0.30352
-0.06035 -0.0627 -0.18317
-0.04949 0.94671 -0.75583
-0.02728 -0.02012 0.02206
-0.72233 -0.06834 -0.20125
0.00538 -0.01747 -0.01186
0.38354 0.35199 -0.02926
0.00168 0.00126 0.00256
0.15904 -0.0411 -0.05062
-0.16618 0.20847 0.37074
0.02831 -0.01239 -0.02643
0.09875 0.098 0.05337
0.25741 0.11944 0.07256
-0.02128 -0.02367 0.00877
-0.58781 -0.90958 0.25726
0.00331 0.00163 0.00664
-0.04138 -0.05183 0.23501
-0.08371 -0.20231 -0.19073
-0.03442 -0.03816 -0.0957
0.05824 -0.21931 -0.0832
0.27378 0.20132 0.03655
0.03014 -0.68711 -0.13598
-0.1943 -0.03029 0.17813
-0.30424 -0.40799 -0.15098
-0.02552 -0.36816 0.2886
-0.28806 -0.10283 0.01414
0.14383 -0.0108 0.06835
-0.0519 0.03327 0.16154
-0.44623 -0.00422 -0.19974
-0.01146 0.04757 0.13362
0.14908 0.00035 -0.04928
-0.46975 0.03843 0.44091
0.01226 -0.03248 0.1405
0.31761 -0.49556 -0.00435
-0.09606 0.07371 -0.03102
0.0681 -0.13789 -0.14006
-0.09342 -0.05109 -0.1691
0.62088 -0.10595 0.45497
-0.06317 0.14928 0.81601
0.12691 0.0597 -0.05704
0.04583 -0.11542 -0.52153
0.11179 0.01763 0.21801
0.17925 -0.57116 -0.17659
-0.0069 -0.00179 -0.00378
-0.07511 0.06699 -0.04162
-0.20356 -0.13316 -0.4747
0.0432 -0.29311 0.40446
-0.08625 -0.06589 0.03551
-0.2146 0.18751 -0.16082
0.00808 -0.00068 0.0001
-0.17047 0.07718 -0.01407
0.39822 0.55191 0.26623
-0.00485 0.00195 0.00041
-0.03209 -0.35514 -0.37748
0.1018 0.17475 -0.16877
0.13795 0.1286 0.10023
0.12726 -0.11846 -0.35235
0.03583 -0.02667 0.02067
-0.36061 -0.00348 0.04165
0.31472 0.41726 -0.13976
0.13888 0.30838 0.42553
0.42424 0.13319 0.25116
0.04331 -0.05774 -0.13895
0.13688 0.30679 0.01358
-0.07624 -0.09275 -0.10464
0.27264 0.26453 -0.02981
-0.73304 0.05602 -0.12451
-0.42547 -0.2593 -0.02373
-0.44299 -0.22015 0.65179
-0.01057 0.0235 -0.05388
-0.16999 0.13199 0.13062
0.24565 -0.09193 -0.13976
-0.01614 0.06288 -0.03612
-0.00108 -0.01694 0.00029
0.09767 -0.34244 0.07616
-0.35477 -0.06556 0.19853
-0.19153 -0.15724 -0.03177
0.05656 0.17402 0.23702
0.0093 0.07195 0.06848
0.05319 -0.11373 -0.00412
-0.13962 0.13851 0.58009
0.00587 0.03499 0.01635
-0.15256 0.0072 0.11668
-0.03782 -0.05483 0.0121
-0.03929 -0.07919 -0.00811
